Date,Oil,Ouro,Soja,Prata,Trigo,Oil ETFS
"Jan 06, 2006",63.39,,,,,
"Jan 13, 2006",63.74,,,,,
"Jan 20, 2006",66.79,,,,,
"Jan 27, 2006",66.82,,,,,
"Feb 03, 2006",66.59,,,,,
"Feb 10, 2006",63.06,,,,,
"Feb 17, 2006",59.37,,,,,
"Feb 24, 2006",59.93,,,,,
"Mar 03, 2006",62.27,,,,,
"Mar 10, 2006",60.89,,,,,
"Mar 17, 2006",62.64,,,,,
"Mar 24, 2006",61.36,,,,,
"Mar 31, 2006",65.67,,,,,
"Apr 07, 2006",66.56,,,,,
"Apr 14, 2006",68.85,,,,,
"Apr 21, 2006",71.87,,,,,
"Apr 28, 2006",70.38,,,,,
"May 05, 2006",72.14,,,,,
"May 12, 2006",71.5,,,,,
"May 19, 2006",69.07,,,,,
"May 26, 2006",70.35,,,,,
"Jun 02, 2006",71.53,,,,,
"Jun 09, 2006",71.54,,,,,
"Jun 16, 2006",69.48,,,,,
"Jun 23, 2006",69.94,,,,,
"Jun 30, 2006",72.65,,,,,
"Jul 07, 2006",74.65,,,,,
"Jul 14, 2006",75.21,,,,,
"Jul 21, 2006",73.98,,,,,
"Jul 28, 2006",73.87,,,,,
"Aug 04, 2006",75.2,,,,,
"Aug 11, 2006",75.63,,,,,
"Aug 18, 2006",71.79,,,,,
"Aug 25, 2006",72.12,,,,,
"Sep 01, 2006",70.01,,,,,
"Sep 08, 2006",67.53,,,,,
"Sep 15, 2006",63.98,,,,,
"Sep 22, 2006",61.4,,,,,
"Sep 29, 2006",61.94,8.79,,14.66,2.78,41.45
"Oct 06, 2006",59.77,8.42,,14.13,2.94,40.04
"Oct 13, 2006",58.58,8.42,9.69,14.51,3.34,40.09
"Oct 20, 2006",58.48,8.62,9.91,14.99,3.39,39.38
"Oct 27, 2006",58.88,8.51,10.13,15.02,3.33,
"Nov 03, 2006",58.55,8.94,10.42,15.79,3.17,38.74
"Nov 10, 2006",59.96,9.14,10.73,16.24,3.17,39.63
"Nov 17, 2006",57.56,9.05,10.70,16.34,3.07,38.57
"Nov 24, 2006",57.24,9.16,10.87,16.66,3.12,38.00
"Dec 01, 2006",62.02,9.35,11.04,17.46,3.15,39.25
"Dec 08, 2006",62.32,9.26,10.65,17.53,3.10,40.38
"Dec 15, 2006",61.91,9.11,10.69,17.46,3.01,39.92
"Dec 22, 2006",62.4,8.97,,15.91,3.00,40.32
"Dec 29, 2006",60.66,9.15,10.93,16.25,3.14,38.61
"Jan 05, 2007",57.76,9.08,10.91,16.11,3.05,37.00
"Jan 12, 2007",54.11,8.82,10.93,15.72,2.84,34.50
"Jan 19, 2007",51.51,9.12,11.39,16.16,2.96,32.97
"Jan 26, 2007",53.57,9.33,11.37,16.73,3.04,34.92
"Feb 02, 2007",57.11,9.41,11.29,17.07,2.86,35.88
"Feb 09, 2007",58.99,9.48,11.75,17.84,3.03,36.68
"Feb 16, 2007",58.41,9.60,11.91,17.52,2.82,36.75
"Feb 23, 2007",59.57,9.71,12.25,17.79,2.95,37.54
"Mar 02, 2007",61.64,9.79,12.17,17.74,2.94,37.56
"Mar 09, 2007",60.85,9.34,11.73,16.27,2.86,38.27
"Mar 16, 2007",57.94,9.31,11.91,16.42,2.78,37.62
"Mar 23, 2007",58.26,9.49,,16.69,2.77,37.43
"Mar 30, 2007",64.18,9.55,11.97,16.74,2.73,39.86
"Apr 06, 2007",64.82,9.63,11.86,17.09,2.56,39.94
"Apr 13, 2007",62.58,9.76,11.56,17.61,2.79,38.67
"Apr 20, 2007",63.06,9.91,11.31,17.55,2.91,38.03
"Apr 27, 2007",65.26,9.82,11.21,17.22,2.98,38.45
"May 04, 2007",63.82,9.77,11.51,16.79,2.93,38.14
"May 11, 2007",61.9,9.73,11.52,16.70,2.84,36.49
"May 18, 2007",63.61,9.67,11.99,16.56,2.88,37.29
"May 25, 2007",64.89,9.47,12.32,16.27,2.82,38.22
"Jun 01, 2007",63.94,9.50,12.48,16.77,2.99,37.03
"Jun 08, 2007",65.9,9.56,12.66,17.05,3.09,38.43
